Inhibitor	Direction	Deletion
628	45Methylimidazole	up	YHL028W
629	45Methylimidazole	up	YNL041C
630	45Methylimidazole	up	YPL214C
631	45Methylimidazole	up	YER095W
632	45Methylimidazole	up	YIR039C
633	45Methylimidazole	up	YIR038C
634	45Methylimidazole	up	YJR050W
635	45Methylimidazole	up	YBR283C
636	45Methylimidazole	up	YCL027W
637	45Methylimidazole	up	YDL191W
638	45Methylimidazole	up	YDR245W
639	45Methylimidazole	up	YDR309C
640	45Methylimidazole	up	YHL035C
641	45Methylimidazole	up	YBR118W
642	45Methylimidazole	up	YOL122C
643	45Methylimidazole	up	YDR093W
644	45Methylimidazole	up	YMR316C-B
645	45Methylimidazole	up	YGL002W
646	45Methylimidazole	up	YBL029W
647	45Methylimidazole	up	YLR413W
648	45Methylimidazole	up	YMR068W
649	45Methylimidazole	up	YLR037C
650	45Methylimidazole	up	YGL258W
651	45Methylimidazole	up	YPL121C
652	45Methylimidazole	up	YPL038W
653	45Methylimidazole	up	YHR082C
654	45Methylimidazole	up	YNL058C
655	45Methylimidazole	up	YDR100W
656	45Methylimidazole	up	YMR310C
657	45Methylimidazole	up	YOR033C
658	45Methylimidazole	up	YFR046C
659	45Methylimidazole	up	YGR069W
660	45Methylimidazole	up	YNL194C
661	45Methylimidazole	up	YBR113W
662	45Methylimidazole	up	YBR297W
663	45Methylimidazole	up	YKL132C
664	45Methylimidazole	up	YLR258W
665	45Methylimidazole	up	YGL198W
666	45Methylimidazole	up	YCR082W
667	45Methylimidazole	up	YER066W
668	45Methylimidazole	up	YAR003W
669	45Methylimidazole	up	YLR257W
670	45Methylimidazole	up	YLR427W
671	45Methylimidazole	up	YMR326C
672	45Methylimidazole	up	YHR061C
673	45Methylimidazole	up	YNR004W
674	45Methylimidazole	up	YLR053C
675	45Methylimidazole	up	YKL211C
676	45Methylimidazole	up	YLR294C
677	45Methylimidazole	up	YKL216W
678	45Methylimidazole	up	YJR139C
679	45Methylimidazole	up	YHL040C
680	45Methylimidazole	up	YHR193C
681	45Methylimidazole	up	YOR044W
682	45Methylimidazole	up	YGR042W
683	45Methylimidazole	up	YDL074C
684	45Methylimidazole	up	YKR066C
685	45Methylimidazole	up	YDL162C
686	45Methylimidazole	up	YOR338W
687	45Methylimidazole	up	YMR181C
688	45Methylimidazole	up	YIL005W
689	45Methylimidazole	up	YPL052W
690	45Methylimidazole	up	YGR123C
691	45Methylimidazole	up	YDR057W
692	45Methylimidazole	up	YCR001W
693	45Methylimidazole	up	YDL091C
